time,Thumb-0-x,Thumb-0-y,Thumb-0-z,Thumb-1-x,Thumb-1-y,Thumb-1-z,Thumb-2-x,Thumb-2-y,Thumb-2-z,Thumb-3-x,Thumb-3-y,Thumb-3-z,Thumb-4-x,Thumb-4-y,Thumb-4-z,Index-0-x,Index-0-y,Index-0-z,Index-1-x,Index-1-y,Index-1-z,Index-2-x,Index-2-y,Index-2-z,Index-3-x,Index-3-y,Index-3-z,Index-4-x,Index-4-y,Index-4-z,Middle-0-x,Middle-0-y,Middle-0-z,Middle-1-x,Middle-1-y,Middle-1-z,Middle-2-x,Middle-2-y,Middle-2-z,Middle-3-x,Middle-3-y,Middle-3-z,Middle-4-x,Middle-4-y,Middle-4-z,Ring-0-x,Ring-0-y,Ring-0-z,Ring-1-x,Ring-1-y,Ring-1-z,Ring-2-x,Ring-2-y,Ring-2-z,Ring-3-x,Ring-3-y,Ring-3-z,Ring-4-x,Ring-4-y,Ring-4-z,Pinky-0-x,Pinky-0-y,Pinky-0-z,Pinky-1-x,Pinky-1-y,Pinky-1-z,Pinky-2-x,Pinky-2-y,Pinky-2-z,Pinky-3-x,Pinky-3-y,Pinky-3-z,Pinky-4-x,Pinky-4-y,Pinky-4-z
1641525206884470.0,7.993232250213623,125.82974243164062,39.64714431762695,7.993232250213623,125.82974243164062,39.64714431762695,20.812274932861328,110.51104736328125,-3.053218364715576,30.58165168762207,100.3355941772461,-31.998292922973633,36.43355178833008,93.10994720458984,-52.049312591552734,1.2371463775634766,146.0686492919922,32.874855041503906,7.337502956390381,145.02352905273438,-36.3268928527832,5.377432346343994,141.9605255126953,-76.73661804199219,3.3416481018066406,128.6380615234375,-95.15943908691406,1.6775538921356201,114.65547943115234,-103.03778076171875,-9.967846870422363,148.74305725097656,31.28817367553711,-13.188153266906738,148.5172576904297,-34.5204963684082,-19.359209060668945,148.22122192382812,-79.61898040771484,-21.114856719970703,132.34458923339844,-101.20683288574219,-20.923404693603516,116.27066040039062,-108.72637176513672,-21.56801414489746,148.712890625,31.08022689819336,-33.30508804321289,149.07797241210938,-26.898799896240234,-40.63894271850586,149.2127685546875,-68.45105743408203,-41.9438362121582,133.63595581054688,-89.42903900146484,-40.75672149658203,117.58497619628906,-96.6607894897461,-33.15218734741211,142.2151641845703,33.139339447021484,-51.26545333862305,145.2086944580078,-18.451744079589844,-70.66272735595703,142.77166748046875,-45.5234489440918,-69.11032104492188,125.83067321777344,-52.71870803833008,-59.64609909057617,114.10166931152344,-46.56748962402344
1641525206893109.0,16.064899444580078,118.80149841308594,39.3250732421875,16.064899444580078,118.80149841308594,39.3250732421875,24.77383804321289,105.73662567138672,-5.124612331390381,31.418554306030273,96.9936294555664,-35.39350509643555,34.878662109375,90.71185302734375,-56.29960250854492,8.849502563476562,139.37991333007812,34.26651382446289,10.495342254638672,142.6450653076172,-35.11517333984375,5.942468166351318,142.09170532226562,-75.42813110351562,2.7481887340545654,129.88059997558594,-94.44703674316406,0.6094295978546143,116.36505889892578,-102.99723815917969,-2.439305543899536,142.08135986328125,33.56877136230469,-9.878535270690918,145.9000701904297,-31.78624153137207,-18.874908447265625,148.27659606933594,-76.3447494506836,-21.94739532470703,133.70269775390625,-98.69081115722656,-22.19150733947754,118.10655212402344,-107.15554809570312,-14.02880573272705,141.99600219726562,34.10190963745117,-29.465534210205078,145.87106323242188,-22.873090744018555,-39.44902420043945,148.86109924316406,-63.760536193847656,-42.115299224853516,134.835693359375,-85.6830062866211,-41.41611099243164,119.36788940429688,-94.14466857910156,-25.44449806213379,135.315673828125,36.49116134643555,-46.839019775390625,141.38230895996094,-13.55043888092041,-67.91291809082031,140.48277282714844,-39.43773651123047,-66.8345947265625,124.04612731933594,-47.79552459716797,-57.01336669921875,111.95013427734375,-43.0828857421875
1641525206901829.0,20.47039794921875,115.46925354003906,39.21580505371094,20.47039794921875,115.46925354003906,39.21580505371094,25.42033576965332,103.03431701660156,-5.985763072967529,28.75589370727539,94.52994537353516,-36.862091064453125,29.803543090820312,88.40679168701172,-58.073116302490234,13.039327621459961,136.16558837890625,35.02497863769531,12.15739631652832,141.45306396484375,-34.24589157104492,6.136163711547852,142.09109497070312,-74.36455535888672,2.270254135131836,130.41409301757812,-93.59305572509766,-0.15291891992092133,117.12764739990234,-102.42192077636719,1.727827787399292,138.8541259765625,34.81623077392578,-8.087843894958496,144.5519561767578,-30.086694717407227,-18.573522567749023,147.9138946533203,-74.25445556640625,-22.337568283081055,133.81231689453125,-96.79691314697266,-22.810577392578125,118.40270233154297,-105.58733367919922,-9.834479331970215,138.7203826904297,35.766605377197266,-27.337984085083008,144.2079620361328,-20.473712921142578,-38.77001953125,148.68035888671875,-60.84325408935547,-42.25068664550781,135.55715942382812,-83.20576477050781,-41.89589309692383,120.46904754638672,-92.34713745117188,-21.14390754699707,131.9409637451172,38.3723030090332,-44.35325241088867,139.40049743652344,-10.662102699279785,-66.31725311279297,139.1565399169922,-35.81351852416992,-65.57948303222656,123.00491333007812,-44.744327545166016,-55.64478302001953,110.70384216308594,-40.87599563598633
1641525206910472.0,22.77076530456543,113.86965942382812,39.68117141723633,22.77076530456543,113.86965942382812,39.68117141723633,24.167713165283203,101.31855010986328,-5.737212657928467,23.467538833618164,92.39230346679688,-36.66664505004883,21.6182918548584,85.99510192871094,-57.74161148071289,15.275394439697266,134.61708068847656,35.875125885009766,13.189343452453613,140.7561492919922,-33.299644470214844,6.441559314727783,141.89259338378906,-73.29145812988281,2.2256481647491455,130.36526489257812,-92.53670501708984,-0.3490138351917267,117.11417388916016,-101.3758316040039,3.962956190109253,137.30967712402344,35.89647674560547,-6.979274272918701,143.8066864013672,-28.75071144104004,-18.096466064453125,147.5002899169922,-72.73716735839844,-22.1728515625,133.56353759765625,-95.32777404785156,-22.7651309967041,118.22584533691406,-104.2359619140625,-7.58109712600708,137.16600036621094,37.046356201171875,-26.059232711791992,143.347412109375,-18.808887481689453,-38.14059066772461,148.63600158691406,-58.88962173461914,-42.061927795410156,136.08282470703125,-81.50502014160156,-41.947105407714844,121.25650787353516,-91.07102966308594,-18.845909118652344,130.35675048828125,39.76508712768555,-42.902828216552734,138.42221069335938,-8.762271881103516,-65.24822235107422,138.42916870117188,-33.57666015625,-64.76933288574219,122.4371566772461,-42.80730438232422,-54.88679122924805,109.94332885742188,-39.45795440673828
1641525206919158.0,23.53365135192871,113.10211944580078,39.955223083496094,23.53365135192871,113.10211944580078,39.955223083496094,22.340259552001953,100.47137451171875,-5.446885108947754,18.732791900634766,91.2952651977539,-36.09950637817383,14.660067558288574,84.71856689453125,-56.80356216430664,16.02701759338379,133.87449645996094,36.310916900634766,13.567816734313965,140.41746520996094,-32.814552307128906,6.542464733123779,141.66268920898438,-72.75530242919922,2.2000653743743896,130.02430725097656,-91.90535736083984,-0.4092911183834076,116.66688537597656,-100.57257843017578,4.716071128845215,136.57164001464844,36.40945816040039,-6.574410438537598,143.44985961914062,-28.138334274291992,-17.797731399536133,147.22915649414062,-72.09054565429688,-21.92951202392578,133.35621643066406,-94.7103500366211,-22.549917221069336,118.05672454833984,-103.68207550048828,-6.821625709533691,136.42608642578125,37.62123107910156,-25.600261688232422,142.9405975341797,-18.095762252807617,-37.83329772949219,148.6536102294922,-58.072105407714844,-41.90719223022461,136.4525146484375,-80.85263061523438,-41.90925979614258,121.80575561523438,-90.69204711914062,-18.07455062866211,129.60580444335938,40.361454010009766,-42.39122009277344,137.96397399902344,-7.986577987670898,-64.77293395996094,137.99961853027344,-32.768184661865234,-64.48455810546875,122.1324462890625,-42.21955871582031,-54.76552200317383,109.40831756591797,-39.28434753417969
1641525206927816.0,26.95909309387207,111.66212463378906,40.37546157836914,26.95909309387207,111.66212463378906,40.37546157836914,22.536483764648438,98.74356079101562,-4.7450690269470215,15.953438758850098,89.3153305053711,-34.82114028930664,9.707918167114258,82.59715270996094,-54.929786682128906,19.664936065673828,132.5286407470703,36.83908462524414,15.615946769714355,138.87857055664062,-32.229522705078125,7.613804817199707,139.70803833007812,-71.99694061279297,2.6571731567382812,127.67730712890625,-90.75130462646484,-0.300336629152298,114.09219360351562,-98.93959045410156,8.399648666381836,135.3892059326172,37.20286560058594,-4.360705852508545,142.2169952392578,-27.07588005065918,-16.524980545043945,145.98829650878906,-70.77771759033203,-21.37906837463379,132.13104248046875,-93.26325225830078,-22.43950843811035,116.83808135986328,-102.20484924316406,-3.105988025665283,135.414306640625,38.6954231262207,-23.141498565673828,142.01571655273438,-16.571739196777344,-36.2354850769043,148.09048461914062,-56.220680236816406,-41.11737823486328,136.23312377929688,-79.02387237548828,-41.6802978515625,121.75772857666016,-89.09798431396484,-14.385564804077148,128.766357421875,41.73338317871094,-39.75082015991211,137.31549072265625,-6.039073467254639,-62.615814208984375,137.47650146484375,-30.37498664855957,-63.10691452026367,121.74667358398438,-40.0450553894043,-53.88370895385742,108.50822448730469,-37.88762664794922
1641525206936483.0,29.230182647705078,111.66738891601562,40.97866439819336,29.230182647705078,111.66738891601562,40.97866439819336,23.35771942138672,98.63899230957031,-3.9444525241851807,15.477253913879395,89.05958557128906,-33.65861129760742,8.452423095703125,82.24505615234375,-53.47557067871094,21.6669864654541,132.44837951660156,37.50437545776367,16.872852325439453,138.71388244628906,-31.524229049682617,8.465058326721191,139.09190368652344,-71.21472930908203,3.487652540206909,126.66413879394531,-89.70280456542969,0.6571841239929199,112.84979248046875,-97.54515838623047,10.374238967895508,135.1819610595703,37.97685623168945,-3.0889406204223633,141.8297576904297,-26.177270889282227,-15.652873992919922,145.39471435546875,-69.78325653076172,-20.5491886138916,131.5130615234375,-92.24456787109375,-21.534677505493164,116.24227142333984,-101.23252868652344,-1.115836501121521,135.0781707763672,39.581668853759766,-21.762874603271484,141.42259216308594,-15.49017333984375,-35.3243293762207,147.69027709960938,-54.951507568359375,-40.42259979248047,136.21372985839844,-77.9017105102539,-41.076602935791016,121.99191284179688,-88.32543182373047,-12.289535522460938,128.30517578125,42.73257827758789,-38.21455764770508,136.541259765625,-4.793747901916504,-61.26722717285156,136.43914794921875,-28.9522762298584,-62.1256217956543,120.93830871582031,-38.96057891845703,-53.22222137451172,107.3764877319336,-37.6245231628418
1641525206945132.0,30.103715896606445,112.00399017333984,41.50605773925781,30.103715896606445,112.00399017333984,41.50605773925781,23.707136154174805,98.86748504638672,-3.313883066177368,15.307924270629883,89.15458679199219,-32.842018127441406,7.9854230880737305,82.2459716796875,-52.51814651489258,22.321056365966797,132.7022705078125,38.02275085449219,17.401704788208008,138.86473083496094,-31.006322860717773,8.975590705871582,138.8733673095703,-70.69473266601562,4.143534183502197,126.15709686279297,-89.02450561523438,1.491834282875061,112.18572998046875,-96.64813232421875,11.000815391540527,135.3182373046875,38.503089904785156,-2.586852550506592,141.77621459960938,-25.644180297851562,-15.174449920654297,145.1138153076172,-69.2613296508789,-19.93782615661621,131.21937561035156,-91.74332427978516,-20.792604446411133,115.98271942138672,-100.80229187011719,-0.48615047335624695,135.09579467773438,40.11807632446289,-21.24620819091797,141.18238830566406,-14.940375328063965,-34.929840087890625,147.57644653320312,-54.339202880859375,-40.05968475341797,136.4576873779297,-77.45787811279297,-40.73411560058594,122.49183654785156,-88.22086334228516,-11.585816383361816,128.20896911621094,43.283905029296875,-37.636741638183594,136.13783264160156,-4.2258219718933105,-60.71724319458008,135.8709259033203,-28.356502532958984,-61.96915054321289,120.6529312133789,-38.749969482421875,-53.505462646484375,106.7566146850586,-38.2631721496582
1641525206953882.0,33.23577880859375,110.61542510986328,41.78757858276367,33.23577880859375,110.61542510986328,41.78757858276367,25.872514724731445,97.90833282470703,-3.0077719688415527,16.73117446899414,88.41950225830078,-32.38796615600586,8.888731956481934,81.64138793945312,-51.908504486083984,25.183757781982422,131.26806640625,38.66425323486328,19.147985458374023,138.17196655273438,-30.205873489379883,10.145536422729492,138.39239501953125,-69.76692199707031,5.196324348449707,125.70403289794922,-88.08477783203125,2.6050102710723877,111.72213745117188,-95.70986938476562,13.845282554626465,133.75718688964844,39.34625244140625,-0.7859939932823181,140.80770874023438,-24.508411407470703,-14.028664588928223,144.4453582763672,-67.90705108642578,-19.001602172851562,130.87130737304688,-90.53889465332031,-19.881986618041992,115.82403564453125,-99.90669250488281,2.387248992919922,133.39340209960938,41.132076263427734,-19.272706985473633,139.89126586914062,-13.531288146972656,-33.679351806640625,146.9082794189453,-52.56465530395508,-39.20811080932617,136.46646118164062,-75.90596008300781,-40.086849212646484,122.92267608642578,-87.18138885498047,-8.589847564697266,126.35234069824219,44.38479995727539,-35.444034576416016,134.5487823486328,-2.6296932697296143,-58.99720764160156,134.62896728515625,-26.30060577392578,-60.947349548339844,119.92076110839844,-37.3026237487793,-53.049983978271484,105.70803833007812,-38.08283996582031
1641525206962480.0,33.95624923706055,110.81333923339844,42.3724250793457,33.95624923706055,110.81333923339844,42.3724250793457,26.268457412719727,98.02761840820312,-2.3459646701812744,16.84679412841797,88.43977355957031,-31.605209350585938,8.81374740600586,81.58203125,-51.0201416015625,25.711872100830078,131.39344787597656,39.27223205566406,19.472270965576172,138.26324462890625,-29.58313751220703,10.421904563903809,138.26275634765625,-69.13386535644531,5.577538967132568,125.44161224365234,-87.38717651367188,3.1182210445404053,111.39632415771484,-94.93911743164062,14.352835655212402,133.7799835205078,39.97834014892578,-0.47289595007896423,140.71737670898438,-23.843856811523438,-13.796560287475586,144.1822052001953,-67.23184967041016,-18.721660614013672,130.72366333007812,-89.9429931640625,-19.552461624145508,115.7957992553711,-99.50437927246094,2.9022505283355713,133.3123321533203,41.78760528564453,-18.927947998046875,139.6309356689453,-12.829031944274902,-33.5317497253418,146.71176147460938,-51.77751922607422,-39.15193176269531,136.585693359375,-75.23580932617188,-40.091270446777344,123.29301452636719,-86.80144500732422,-8.004173278808594,126.17157745361328,45.0606575012207,-35.02794647216797,134.13954162597656,-1.8959040641784668,-58.74631118774414,134.31024169921875,-25.40081024169922,-61.2215461730957,119.9747543334961,-36.78262710571289,-53.88218688964844,105.54161071777344,-38.454986572265625
